"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6.0229,10.6222543081772
6.023,10.625788528479
6.0231,10.6293240756236
6.0232,10.6328609501496
6.0233,10.6363991525954
6.0234,10.6399386835
6.0235,10.6434795434023
6.0236,10.6470217328415
6.0237,10.6505652523571
6.0238,10.6541101024889
6.0239,10.6576562837767
6.024,10.6612037967606
6.0241,10.6647526419809
6.0242,10.6683028199783
6.0243,10.6718543312935
6.0244,10.6754071764674
6.0245,10.6789613560414
6.0246,10.6825168705568
6.0247,10.6860737205553
6.0248,10.6896319065788
6.0249,10.6931914291694
6.025,10.6967522888694
6.0251,10.7003144862213
6.0252,10.7038780217679
6.0253,10.7074428960522
6.0254,10.7110091096173
6.0255,10.7145766630068
6.0256,10.7181455567641
6.0257,10.7217157914332
6.0258,10.7252873675582
6.0259,10.7288602856834
6.026,10.7324345463532
6.0261,10.7360101501124
6.0262,10.7395870975061
6.0263,10.7431653890793
6.0264,10.7467450253775
6.0265,10.7503260069464
6.0266,10.7539083343316
6.0267,10.7574920080794
6.0268,10.761077028736
6.0269,10.764663396848
6.027,10.768251112962
6.0271,10.7718401776249
6.0272,10.7754305913842
6.0273,10.779022354787
6.0274,10.782615468381
6.0275,10.7862099327141
6.0276,10.7898057483343
6.0277,10.7934029157899
6.0278,10.7970014356294
6.0279,10.8006013084016
6.028,10.8042025346553
6.0281,10.8078051149399
6.0282,10.8114090498046
6.0283,10.8150143397991
6.0284,10.8186209854733
6.0285,10.8222289873771
6.0286,10.825838346061
6.0287,10.8294490620753
6.0288,10.833061135971
6.0289,10.8366745682987
6.029,10.8402893596099
6.0291,10.8439055104559
6.0292,10.8475230213882
6.0293,10.8511418929588
6.0294,10.8547621257198
6.0295,10.8583837202233
6.0296,10.862006677022
6.0297,10.8656309966686
6.0298,10.8692566797161
6.0299,10.8728837267175
6.03,10.8765121382265
6.0301,10.8801419147965
6.0302,10.8837730569815
6.0303,10.8874055653355
6.0304,10.8910394404129
6.0305,10.8946746827682
6.0306,10.898311292956
6.0307,10.9019492715316
6.0308,10.90558861905
6.0309,10.9092293360666
6.031,10.9128714231372
6.0311,10.9165148808175
6.0312,10.9201597096637
6.0313,10.9238059102322
6.0314,10.9274534830795
6.0315,10.9311024287623
6.0316,10.9347527478377
6.0317,10.9384044408629
6.0318,10.9420575083953
6.0319,10.9457119509928
6.032,10.949367769213
6.0321,10.9530249636141
6.0322,10.9566835347546
6.0323,10.960343483193
6.0324,10.964004809488
6.0325,10.9676675141989
6.0326,10.9713315978847
6.0327,10.974997061105
6.0328,10.9786639044194
6.0329,10.982332128388
6.033,10.9860017335708
6.0331,10.9896727205283
6.0332,10.9933450898211
6.0333,10.99701884201
6.0334,11.000693977656
6.0335,11.0043704973205
6.0336,11.008048401565
6.0337,11.0117276909512
6.0338,11.0154083660411
